snapshot_date,category,seniority,tier,listings_with_ai,total_listings,pct,required_count
12-03-2026,ai,all,any_ai,253,266,95.1,253
12-03-2026,ai,all,genai,210,266,78.9,207
12-03-2026,ai,all,ml,186,266,69.9,186
12-03-2026,ai,entry,any_ai,1,1,100,1
12-03-2026,ai,entry,genai,1,1,100,1
12-03-2026,ai,entry,ml,1,1,100,1
12-03-2026,ai,mid,any_ai,138,147,93.9,138
12-03-2026,ai,mid,genai,120,147,81.6,119
12-03-2026,ai,mid,ml,100,147,68,100
12-03-2026,ai,senior,any_ai,114,118,96.6,114
12-03-2026,ai,senior,genai,89,118,75.4,87
12-03-2026,ai,senior,ml,85,118,72,85
12-03-2026,data,all,any_ai,90,149,60.4,89
12-03-2026,data,all,genai,28,149,18.8,28
12-03-2026,data,all,ml,80,149,53.7,79
12-03-2026,data,mid,any_ai,24,57,42.1,24
12-03-2026,data,mid,genai,7,57,12.3,7
12-03-2026,data,mid,ml,23,57,40.4,23
12-03-2026,data,senior,any_ai,66,92,71.7,65
12-03-2026,data,senior,genai,21,92,22.8,21
12-03-2026,data,senior,ml,57,92,62,56
12-03-2026,devops,all,any_ai,10,83,12,10
12-03-2026,devops,all,genai,9,83,10.8,9
12-03-2026,devops,all,ml,6,83,7.2,6
12-03-2026,devops,mid,any_ai,7,30,23.3,7
12-03-2026,devops,mid,genai,7,30,23.3,7
12-03-2026,devops,mid,ml,3,30,10,3
12-03-2026,devops,senior,any_ai,3,53,5.7,3
12-03-2026,devops,senior,genai,2,53,3.8,2
12-03-2026,devops,senior,ml,3,53,5.7,3
12-03-2026,engineering,all,any_ai,299,813,36.8,297
12-03-2026,engineering,all,genai,169,813,20.8,168
12-03-2026,engineering,all,ml,217,813,26.7,213
12-03-2026,engineering,entry,any_ai,3,6,50,3
12-03-2026,engineering,entry,genai,1,6,16.7,1
12-03-2026,engineering,entry,ml,3,6,50,3
12-03-2026,engineering,mid,any_ai,59,263,22.4,58
12-03-2026,engineering,mid,genai,38,263,14.4,38
12-03-2026,engineering,mid,ml,36,263,13.7,32
12-03-2026,engineering,senior,any_ai,237,544,43.6,236
12-03-2026,engineering,senior,genai,130,544,23.9,129
12-03-2026,engineering,senior,ml,178,544,32.7,178
12-03-2026,product,all,any_ai,83,223,37.2,83
12-03-2026,product,all,genai,64,223,28.7,64
12-03-2026,product,all,ml,40,223,17.9,40
12-03-2026,product,entry,any_ai,1,2,50,1
12-03-2026,product,entry,genai,0,2,0,0
12-03-2026,product,entry,ml,1,2,50,1
12-03-2026,product,mid,any_ai,22,71,31,22
12-03-2026,product,mid,genai,21,71,29.6,21
12-03-2026,product,mid,ml,4,71,5.6,4
12-03-2026,product,senior,any_ai,60,150,40,60
12-03-2026,product,senior,genai,43,150,28.7,43
12-03-2026,product,senior,ml,35,150,23.3,35
12-03-2026,security,all,any_ai,6,25,24,6
12-03-2026,security,all,genai,3,25,12,3
12-03-2026,security,all,ml,5,25,20,5
12-03-2026,security,mid,any_ai,0,8,0,0
12-03-2026,security,mid,genai,0,8,0,0
12-03-2026,security,mid,ml,0,8,0,0
12-03-2026,security,senior,any_ai,6,17,35.3,6
12-03-2026,security,senior,genai,3,17,17.6,3
12-03-2026,security,senior,ml,5,17,29.4,5
19-03-2026,ai,all,any_ai,264,277,95.3,264
19-03-2026,ai,all,genai,221,277,79.8,218
19-03-2026,ai,all,ml,192,277,69.3,192
19-03-2026,ai,entry,any_ai,1,1,100,1
19-03-2026,ai,entry,genai,1,1,100,1
19-03-2026,ai,entry,ml,1,1,100,1
19-03-2026,ai,mid,any_ai,140,149,94,140
19-03-2026,ai,mid,genai,122,149,81.9,121
19-03-2026,ai,mid,ml,100,149,67.1,100
19-03-2026,ai,senior,any_ai,123,127,96.9,123
19-03-2026,ai,senior,genai,98,127,77.2,96
19-03-2026,ai,senior,ml,91,127,71.7,91
19-03-2026,data,all,any_ai,99,162,61.1,98
19-03-2026,data,all,genai,34,162,21,34
19-03-2026,data,all,ml,85,162,52.5,84
19-03-2026,data,mid,any_ai,26,63,41.3,26
19-03-2026,data,mid,genai,9,63,14.3,9
19-03-2026,data,mid,ml,23,63,36.5,23
19-03-2026,data,senior,any_ai,73,99,73.7,72
19-03-2026,data,senior,genai,25,99,25.3,25
19-03-2026,data,senior,ml,62,99,62.6,61
19-03-2026,devops,all,any_ai,11,90,12.2,11
19-03-2026,devops,all,genai,9,90,10,9
19-03-2026,devops,all,ml,7,90,7.8,7
19-03-2026,devops,entry,any_ai,0,3,0,0
19-03-2026,devops,entry,genai,0,3,0,0
19-03-2026,devops,entry,ml,0,3,0,0
19-03-2026,devops,mid,any_ai,8,31,25.8,8
19-03-2026,devops,mid,genai,7,31,22.6,7
19-03-2026,devops,mid,ml,4,31,12.9,4
19-03-2026,devops,senior,any_ai,3,56,5.4,3
19-03-2026,devops,senior,genai,2,56,3.6,2
19-03-2026,devops,senior,ml,3,56,5.4,3
19-03-2026,engineering,all,any_ai,317,868,36.5,315
19-03-2026,engineering,all,genai,185,868,21.3,184
19-03-2026,engineering,all,ml,225,868,25.9,221
19-03-2026,engineering,entry,any_ai,5,8,62.5,5
19-03-2026,engineering,entry,genai,3,8,37.5,3
19-03-2026,engineering,entry,ml,3,8,37.5,3
19-03-2026,engineering,mid,any_ai,62,275,22.5,61
19-03-2026,engineering,mid,genai,41,275,14.9,41
19-03-2026,engineering,mid,ml,38,275,13.8,34
19-03-2026,engineering,senior,any_ai,250,585,42.7,249
19-03-2026,engineering,senior,genai,141,585,24.1,140
19-03-2026,engineering,senior,ml,184,585,31.5,184
19-03-2026,product,all,any_ai,89,242,36.8,88
19-03-2026,product,all,genai,69,242,28.5,68
19-03-2026,product,all,ml,41,242,16.9,41
19-03-2026,product,entry,any_ai,1,2,50,1
19-03-2026,product,entry,genai,0,2,0,0
19-03-2026,product,entry,ml,1,2,50,1
19-03-2026,product,mid,any_ai,23,75,30.7,22
19-03-2026,product,mid,genai,22,75,29.3,21
19-03-2026,product,mid,ml,4,75,5.3,4
19-03-2026,product,senior,any_ai,65,165,39.4,65
19-03-2026,product,senior,genai,47,165,28.5,47
19-03-2026,product,senior,ml,36,165,21.8,36
19-03-2026,security,all,any_ai,7,27,25.9,7
19-03-2026,security,all,genai,4,27,14.8,4
19-03-2026,security,all,ml,6,27,22.2,6
19-03-2026,security,mid,any_ai,0,8,0,0
19-03-2026,security,mid,genai,0,8,0,0
19-03-2026,security,mid,ml,0,8,0,0
19-03-2026,security,senior,any_ai,7,19,36.8,7
19-03-2026,security,senior,genai,4,19,21.1,4
19-03-2026,security,senior,ml,6,19,31.6,6
26-03-2026,ai,all,any_ai,273,288,94.8,273
26-03-2026,ai,all,genai,230,288,79.9,227
26-03-2026,ai,all,ml,201,288,69.8,201
26-03-2026,ai,entry,any_ai,1,1,100,1
26-03-2026,ai,entry,genai,1,1,100,1
26-03-2026,ai,entry,ml,1,1,100,1
26-03-2026,ai,mid,any_ai,146,157,93,146
26-03-2026,ai,mid,genai,128,157,81.5,127
26-03-2026,ai,mid,ml,106,157,67.5,106
26-03-2026,ai,senior,any_ai,126,130,96.9,126
26-03-2026,ai,senior,genai,101,130,77.7,99
26-03-2026,ai,senior,ml,94,130,72.3,94
26-03-2026,data,all,any_ai,107,181,59.1,106
26-03-2026,data,all,genai,39,181,21.5,39
26-03-2026,data,all,ml,90,181,49.7,89
26-03-2026,data,mid,any_ai,29,68,42.6,29
26-03-2026,data,mid,genai,10,68,14.7,10
26-03-2026,data,mid,ml,25,68,36.8,25
26-03-2026,data,senior,any_ai,78,113,69,77
26-03-2026,data,senior,genai,29,113,25.7,29
26-03-2026,data,senior,ml,65,113,57.5,64
26-03-2026,devops,all,any_ai,12,92,13,12
26-03-2026,devops,all,genai,9,92,9.8,9
26-03-2026,devops,all,ml,8,92,8.7,8
26-03-2026,devops,entry,any_ai,0,3,0,0
26-03-2026,devops,entry,genai,0,3,0,0
26-03-2026,devops,entry,ml,0,3,0,0
26-03-2026,devops,mid,any_ai,9,32,28.1,9
26-03-2026,devops,mid,genai,7,32,21.9,7
26-03-2026,devops,mid,ml,5,32,15.6,5
26-03-2026,devops,senior,any_ai,3,57,5.3,3
26-03-2026,devops,senior,genai,2,57,3.5,2
26-03-2026,devops,senior,ml,3,57,5.3,3
26-03-2026,engineering,all,any_ai,324,890,36.4,322
26-03-2026,engineering,all,genai,191,890,21.5,190
26-03-2026,engineering,all,ml,230,890,25.8,225
26-03-2026,engineering,entry,any_ai,5,8,62.5,5
26-03-2026,engineering,entry,genai,3,8,37.5,3
26-03-2026,engineering,entry,ml,3,8,37.5,3
26-03-2026,engineering,mid,any_ai,62,282,22,61
26-03-2026,engineering,mid,genai,41,282,14.5,41
26-03-2026,engineering,mid,ml,38,282,13.5,34
26-03-2026,engineering,senior,any_ai,257,600,42.8,256
26-03-2026,engineering,senior,genai,147,600,24.5,146
26-03-2026,engineering,senior,ml,189,600,31.5,188
26-03-2026,product,all,any_ai,91,251,36.3,90
26-03-2026,product,all,genai,71,251,28.3,70
26-03-2026,product,all,ml,42,251,16.7,42
26-03-2026,product,entry,any_ai,1,3,33.3,1
