Ticker,Market_Cap_Cr,Return_1Y_Pct,Volatility_Pct,Beta,PE_Ratio,Dividend_Yield_Pct,Debt_Equity,ROE_Pct,Revenue_Growth_Pct,Profit_Growth_Pct
RELIANCE,116840.74,9,1.92,1.04,13.94,1.78,0.89,15.23,4.01,7.2
ONGC,28083.65,8.04,1.8,1.01,12.73,0.92,0.52,13.79,2.6,1.69
IOC,26028.66,9.97,2.04,1.03,12.2,1.04,0.81,15.15,4.28,5.75
NTPC,54988.26,5.4,0.77,0.9,15.96,0.84,1.06,7.98,0.31,4
POWERGRID,38049.71,6.74,0.95,0.76,15.65,1.02,0.48,14.28,4.39,-0.03
TCS,30897.49,12.32,2.1,0.85,25.97,1.85,0.25,24.5,7.44,10.45
INFY,47117.25,11.52,2.97,1.19,24.68,1.4,1.25,17.29,7.06,5.88
HCLTECH,51424.8,12.36,2.79,1.32,27.89,2.09,0.4,15.5,6.98,3.07
WIPRO,81102.67,11.78,2.32,1.23,32.43,1.57,0.85,16.25,5.42,8.94
TECHM,57691.56,12.1,1.99,1.28,25.89,1.62,0.95,16.33,6.66,7.28
HDFCBANK,138330.67,9.08,2.34,1.07,13.97,1.2,0.91,14.22,5.51,5.72
ICICIBANK,48093.8,8.58,2.31,1.1,15.18,2.02,0.9,11.47,7.01,7.46
SBIN,28430.14,11.29,3.8,1.35,9.2,1.05,1.1,14.32,6.41,6.08
KOTAKBANK,31863.32,8.95,2.74,1.11,11.81,1.52,0.72,13.24,6.55,2.74
AXISBANK,24826.75,10.73,2.47,1.2,10.18,1.45,1.01,12.6,6.94,7.72
HINDUNILVR,136786.42,9.25,1.1,0.55,39.96,1.16,0.45,14.87,2.71,7.65
ITC,77044.09,8.03,1.64,0.71,45.48,0.89,1.24,16.63,3.92,3.33
NESTLEIND,49372.61,8.11,1.79,0.58,41.77,1.19,1.07,15.89,3.93,12.07
BRITANNIA,63594.4,9.63,1.75,0.58,38.79,1.22,0.94,14.13,3.6,2.47
MARICO,30148.14,8.55,1.63,0.72,42.64,0.79,1.04,13.84,4.82,2.7
TATAMOTORS,65073.29,11.36,2.47,1.29,27.25,1.86,0.66,16.31,7.28,17.01
M&M,32046.59,11.57,3.07,1.34,26.86,1.76,0.92,15.09,5.39,7.73
MARUTI,50784.88,13.31,3.18,1.1,26.06,1.2,0.88,14.71,5.89,10.35
EICHERMOT,16093.51,10.27,3.02,1.27,24.14,1.44,1.54,15.01,4.32,8.81
HEROMOTOCO,37751.48,10.21,2.68,1.24,25.51,1.82,0.7,13.46,9.15,7.65
SUNPHARMA,98400.5,11.74,2.83,1.12,36.37,2.06,0.67,14.36,7.34,9.57
CIPLA,120309.9,12.07,2.56,1.05,20.28,1.54,0.99,13.27,5.76,8.17
DRREDDY,54692.55,14.44,3.16,0.94,33.49,1.8,0.8,16.31,8.08,8.42
DIVISLAB,45094.62,13.11,2.32,1.1,34.76,1.49,1.58,17.58,7.77,6.97
AUROPHARMA,80400.84,12.79,2.76,1.01,28.23,2.01,1.14,16.87,8.66,9.89
TATASTEEL,98984.22,6.67,5.2,1.75,12.24,1.45,4.4,11.27,4.76,3.83
JSWSTEEL,71330.13,7.28,3.51,1.54,12.48,1.5,1.23,12.18,4.65,4.41
HINDALCO,92684.91,7.6,3.08,1.5,7.55,1.82,0.65,14.36,5.43,6.51
COALINDIA,31131.53,7.49,3.45,1.38,10.23,1.13,1.14,12.29,4.94,3.46
VEDL,22104.88,6.68,3.58,1.47,10.73,1.17,0.78,9.81,2.24,3.81
LT,48524.19,8.31,2.05,1.27,34.57,1.46,0.9,12.88,5.22,3.33
ADANIPORTS,55450.77,8.52,2.26,1.27,31.67,1.6,1.07,13.56,4.88,3.61
ULTRACEMCO,79203.55,8.02,2.13,1.19,36.35,1.74,1.44,13.55,8.79,3.2
GRASIM,59157.92,7.16,2.45,1.1,25.63,1.37,0.71,16.03,5.84,3.21
SHREECEM,19106.35,7.1,2.24,1.19,28.04,1.96,1.19,15.05,3.68,7.71
